textbox6,textbox13
Visits by Day And Hour,"Start: 09/01/2015 - End: 04/22/2017
Locations: MEEM ELC"

DayName,Group1,SignInCount
Monday,9:00 AM,8
Monday,10:00 AM,54
Monday,11:00 AM,46
Monday,12:00 PM,76
Monday,1:00 PM,155
Monday,2:00 PM,112
Monday,3:00 PM,62
Monday,4:00 PM,60
Monday,5:00 PM,19
Monday,6:00 PM,1
Monday,10:00 PM,1
Tuesday,8:00 AM,3
Tuesday,9:00 AM,12
Tuesday,10:00 AM,59
Tuesday,11:00 AM,50
Tuesday,12:00 PM,89
Tuesday,1:00 PM,141
Tuesday,2:00 PM,59
Tuesday,3:00 PM,60
Tuesday,4:00 PM,27
Tuesday,5:00 PM,25
Tuesday,6:00 PM,7
Tuesday,8:00 PM,1
Wednesday,9:00 AM,9
Wednesday,10:00 AM,39
Wednesday,11:00 AM,57
Wednesday,12:00 PM,68
Wednesday,1:00 PM,115
Wednesday,2:00 PM,90
Wednesday,3:00 PM,58
Wednesday,4:00 PM,29
Wednesday,5:00 PM,10
Thursday,9:00 AM,7
Thursday,10:00 AM,44
Thursday,11:00 AM,73
Thursday,12:00 PM,74
Thursday,1:00 PM,95
Thursday,2:00 PM,79
Thursday,3:00 PM,50
Thursday,4:00 PM,30
Thursday,5:00 PM,12
Thursday,7:00 PM,5
Friday,9:00 AM,1
Friday,10:00 AM,3
Friday,11:00 AM,29
Friday,12:00 PM,45
Friday,1:00 PM,76
Friday,2:00 PM,50
Friday,3:00 PM,16
Friday,4:00 PM,11
Friday,5:00 PM,6
Saturday,11:00 AM,2
Saturday,12:00 PM,1
Saturday,1:00 PM,3
Saturday,2:00 PM,6
Saturday,3:00 PM,7
Saturday,4:00 PM,2

