textbox6,textbox13
Visits by Day And Hour,"Start: 09/01/2015 - End: 04/22/2017
Locations: MEEM ELC"

DayName,Group1,SignInCount
1,900,8
1,1000,54
1,1100,46
1,1200,76
1,1300,155
1,1400,112
1,1500,62
1,1600,60
1,1700,19
1,1800,1
1,2200,1
2,800,3
2,900,12
2,1000,59
2,1100,50
2,1200,89
2,1300,141
2,1400,59
2,1500,60
2,1600,27
2,1700,25
2,1800,7
2,2000,1
3,900,9
3,1000,39
3,1100,57
3,1200,68
3,1300,115
3,1400,90
3,1500,58
3,1600,29
3,1700,10
4,900,7
4,1000,44
4,1100,73
4,1200,74
4,1300,95
4,1400,79
4,1500,50
4,1600,30
4,1700,12
4,1900,5
5,900,1
5,1000,3
5,1100,29
5,1200,45
5,1300,76
5,1400,50
5,1500,16
5,1600,11
5,1700,6
6,1100,2
6,1200,1
6,1300,3
6,1400,6
6,1500,7
6,1600,2

