textbox6,textbox13
Visits By Hour And Day,"Start: 09/01/2015 - End: 04/22/2017
Locations: MEEM ELC"

Group2,DayName,SignInCount
8:00 AM,Tuesday,3
9:00 AM,Monday,8
9:00 AM,Tuesday,12
9:00 AM,Wednesday,9
9:00 AM,Thursday,7
9:00 AM,Friday,1
10:00 AM,Monday,54
10:00 AM,Tuesday,59
10:00 AM,Wednesday,39
10:00 AM,Thursday,44
10:00 AM,Friday,3
11:00 AM,Monday,46
11:00 AM,Tuesday,50
11:00 AM,Wednesday,57
11:00 AM,Thursday,73
11:00 AM,Friday,29
11:00 AM,Saturday,2
12:00 PM,Monday,76
12:00 PM,Tuesday,89
12:00 PM,Wednesday,68
12:00 PM,Thursday,74
12:00 PM,Friday,45
12:00 PM,Saturday,1
1:00 PM,Monday,155
1:00 PM,Tuesday,141
1:00 PM,Wednesday,115
1:00 PM,Thursday,95
1:00 PM,Friday,76
1:00 PM,Saturday,3
2:00 PM,Monday,112
2:00 PM,Tuesday,59
2:00 PM,Wednesday,90
2:00 PM,Thursday,79
2:00 PM,Friday,50
2:00 PM,Saturday,6
3:00 PM,Monday,62
3:00 PM,Tuesday,60
3:00 PM,Wednesday,58
3:00 PM,Thursday,50
3:00 PM,Friday,16
3:00 PM,Saturday,7
4:00 PM,Monday,60
4:00 PM,Tuesday,27
4:00 PM,Wednesday,29
4:00 PM,Thursday,30
4:00 PM,Friday,11
4:00 PM,Saturday,2
5:00 PM,Monday,19
5:00 PM,Tuesday,25
5:00 PM,Wednesday,10
5:00 PM,Thursday,12
5:00 PM,Friday,6
6:00 PM,Monday,1
6:00 PM,Tuesday,7
7:00 PM,Thursday,5
8:00 PM,Tuesday,1
10:00 PM,Monday,1

